steps,AUC
20000,0.537816659
40000,0.541550843
60000,0.544672506
80000,0.548432356
100000,0.548211636
120000,0.547578557
140000,0.549169347
160000,0.549959838
180000,0.54990241
200000,0.550789409
220000,0.550236075
240000,0.549381504
260000,0.550301916
280000,0.550219701
300000,0.55059148
320000,0.549876121
340000,0.550166458
360000,0.549010862
380000,0.548681489
400000,0.549199842
420000,0.54888592
440000,0.548666467
460000,0.548529056
480000,0.548847721
500000,0.548753081
