Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,100
2,4.9,3.0,1.4,0.2,100
3,4.7,3.2,1.3,0.2,100
4,4.6,3.1,1.5,0.2,100
5,5.0,3.6,1.4,0.2,100
6,5.4,3.9,1.7,0.4,100
7,4.6,3.4,1.4,0.3,100
8,5.0,3.4,1.5,0.2,100
9,4.4,2.9,1.4,0.2,100
10,4.9,3.1,1.5,0.1,100
11,5.4,3.7,1.5,0.2,100
12,4.8,3.4,1.6,0.2,100
13,4.8,3.0,1.4,0.1,100
14,4.3,3.0,1.1,0.1,100
15,5.8,4.0,1.2,0.2,100
16,5.7,4.4,1.5,0.4,100
17,5.4,3.9,1.3,0.4,100
18,5.1,3.5,1.4,0.3,100
19,5.7,3.8,1.7,0.3,100
20,5.1,3.8,1.5,0.3,100
21,5.4,3.4,1.7,0.2,100
22,5.1,3.7,1.5,0.4,100
23,4.6,3.6,1.0,0.2,100
24,5.1,3.3,1.7,0.5,100
25,4.8,3.4,1.9,0.2,100
26,5.0,3.0,1.6,0.2,100
27,5.0,3.4,1.6,0.4,100
28,5.2,3.5,1.5,0.2,100
29,5.2,3.4,1.4,0.2,100
30,4.7,3.2,1.6,0.2,100
31,4.8,3.1,1.6,0.2,100
32,5.4,3.4,1.5,0.4,100
33,5.2,4.1,1.5,0.1,100
34,5.5,4.2,1.4,0.2,100
35,4.9,3.1,1.5,0.1,100
36,5.0,3.2,1.2,0.2,100
37,5.5,3.5,1.3,0.2,100
38,4.9,3.1,1.5,0.1,100
39,4.4,3.0,1.3,0.2,100
40,5.1,3.4,1.5,0.2,100
41,5.0,3.5,1.3,0.3,100
42,4.5,2.3,1.3,0.3,100
43,4.4,3.2,1.3,0.2,100
44,5.0,3.5,1.6,0.6,100
45,5.1,3.8,1.9,0.4,100
46,4.8,3.0,1.4,0.3,100
47,5.1,3.8,1.6,0.2,100
48,4.6,3.2,1.4,0.2,100
49,5.3,3.7,1.5,0.2,100
50,5.0,3.3,1.4,0.2,100
51,7.0,3.2,4.7,1.4,010
52,6.4,3.2,4.5,1.5,010
53,6.9,3.1,4.9,1.5,010
54,5.5,2.3,4.0,1.3,010
55,6.5,2.8,4.6,1.5,010
56,5.7,2.8,4.5,1.3,010
57,6.3,3.3,4.7,1.6,010
58,4.9,2.4,3.3,1.0,010
59,6.6,2.9,4.6,1.3,010
60,5.2,2.7,3.9,1.4,010
61,5.0,2.0,3.5,1.0,010
62,5.9,3.0,4.2,1.5,010
63,6.0,2.2,4.0,1.0,010
64,6.1,2.9,4.7,1.4,010
65,5.6,2.9,3.6,1.3,010
66,6.7,3.1,4.4,1.4,010
67,5.6,3.0,4.5,1.5,010
68,5.8,2.7,4.1,1.0,010
69,6.2,2.2,4.5,1.5,010
70,5.6,2.5,3.9,1.1,010
71,5.9,3.2,4.8,1.8,010
72,6.1,2.8,4.0,1.3,010
73,6.3,2.5,4.9,1.5,010
74,6.1,2.8,4.7,1.2,010
75,6.4,2.9,4.3,1.3,010
76,6.6,3.0,4.4,1.4,010
77,6.8,2.8,4.8,1.4,010
78,6.7,3.0,5.0,1.7,010
79,6.0,2.9,4.5,1.5,010
80,5.7,2.6,3.5,1.0,010
81,5.5,2.4,3.8,1.1,010
82,5.5,2.4,3.7,1.0,010
83,5.8,2.7,3.9,1.2,010
84,6.0,2.7,5.1,1.6,010
85,5.4,3.0,4.5,1.5,010
86,6.0,3.4,4.5,1.6,010
87,6.7,3.1,4.7,1.5,010
88,6.3,2.3,4.4,1.3,010
89,5.6,3.0,4.1,1.3,010
90,5.5,2.5,4.0,1.3,010
91,5.5,2.6,4.4,1.2,010
92,6.1,3.0,4.6,1.4,010
93,5.8,2.6,4.0,1.2,010
94,5.0,2.3,3.3,1.0,010
95,5.6,2.7,4.2,1.3,010
96,5.7,3.0,4.2,1.2,010
97,5.7,2.9,4.2,1.3,010
98,6.2,2.9,4.3,1.3,010
99,5.1,2.5,3.0,1.1,010
100,5.7,2.8,4.1,1.3,010
101,6.3,3.3,6.0,2.5,001
102,5.8,2.7,5.1,1.9,001
103,7.1,3.0,5.9,2.1,001
