Id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Species
1,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
2,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
3,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
4,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
5,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
6,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
7,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
8,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
9,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
10,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
11,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
12,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
13,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
14,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
15,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
16,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
17,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
18,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
19,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
20,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
21,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
22,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
23,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
24,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
25,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
26,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
27,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
28,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
29,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
30,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
31,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
32,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
33,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
34,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
35,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
36,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
37,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
38,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
39,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
40,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
41,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
42,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
43,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
44,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
45,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
46,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
47,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
48,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
49,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
50,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,100
51,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
52,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
53,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
54,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
55,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
56,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
57,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
58,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
59,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
60,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
61,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
62,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
63,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
64,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
65,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
66,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
67,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
68,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
69,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
70,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
71,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
72,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
73,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
74,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
75,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
76,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
77,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
78,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
79,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
80,0.1,0.2,0.3,0.4,0.8,0.2,0.5,0.1,0.9,0.7,010
