,0
0,4.3714966824871094e-05
1,1.4815228180291246e-05
2,2.1673987357171528e-05
3,2.2041397835433286e-05
4,5.495509158408179e-06
5,1.891793912722863e-05
6,6.700517096250537e-06
7,7.089064675380523e-06
8,1.5700901098516227e-05
9,2.7575898810011494e-05
10,2.9109710691472434e-05
11,7.703677543892343e-05
12,9.503316813696307e-06
13,2.3284437898587775e-05
14,9.546903686075244e-06
15,4.937074528465997e-05
16,4.668653349933828e-05
17,2.5368597762092254e-05
18,2.5754795815099255e-05
19,6.092520556551053e-06
20,6.444060570503393e-06
21,5.258142616783499e-06
22,0.00011266911865437103
23,2.277199573956046e-05
24,1.6029227162628726e-05
25,8.306747223686719e-06
26,8.315249959143542e-06
27,1.5081627813682894e-05
28,1.0709291635159163e-05
29,1.0836228748486713e-05
30,2.3771124393432532e-05
31,2.071893346945505e-05
32,1.2835467967349682e-05
33,7.968259419940955e-06
34,7.688941776411174e-06
35,1.2063037740493008e-05
36,0.0002460031158338344
37,0.00010142239224393179
38,1.3175479127967875e-05
39,2.9982451409334424e-05
40,1.9447774853849712e-05
41,1.7155847872896398e-05
42,6.4363590868792405e-06
43,1.923283861142122e-05
44,1.5006276625576114e-05
45,2.8068724680883457e-05
46,8.498863090702705e-06
47,3.136461666402016e-05
48,6.503685079063179e-05
49,4.094698071856479e-05
50,0.00013986284077232357
51,1.4662468886705245e-05
52,1.4240114497696329e-05
53,2.641323294044727e-05
54,1.5008907750203932e-05
55,2.080621269858077e-05
56,3.0141429490597155e-05
57,1.7637658303673947e-05
58,1.0885314131431792e-05
59,6.908016222741841e-05
60,2.007356695717681e-05
61,4.006058599568439e-05
62,6.78905420828466e-05
63,5.7981726288533735e-05
64,1.027262272877595e-05
65,3.851743266451491e-06
66,5.623817744858972e-06
67,3.217693287716026e-05
68,2.1910253593453378e-05
69,1.1244873846790636e-05
70,1.0284342744582009e-05
71,1.917641465919755e-05
72,2.3775555077821518e-05
73,7.337738529597228e-05
74,4.278154465341212e-05
75,5.501424680473937e-05
76,2.185896749121053e-05
77,5.871512966149424e-05
78,4.0910944866605014e-05
79,2.0556918834245557e-05
80,2.4508988485793923e-05
81,2.711529983839154e-05
82,1.7227656284109796e-05
83,1.5416160273818437e-05
84,1.404544694132537e-05
85,1.4020866698877329e-05
86,2.059470112381452e-05
87,1.1589413504561867e-05
88,1.097670262994534e-05
89,1.537713514176465e-05
90,6.250292985024958e-05
91,1.032947519471154e-05
