Index,Labels,Loss,Dist10nn,,,,,,AUC: 0.632817137547477,,
0,1,0.021021765,0.072299446,0.047194618,0.000630252,0.002227332,38.70484098,,53.01319359,0.025144617,0.002223578
1,1,0.005971633,0.011899898,0.005484324,4.11596E-05,3.00778E-05,,,,0.074056224,
2,1,0.015882825,0.024510082,0.00578679,0.000350562,3.34869E-05,,,,,
3,1,0.005610816,0.013416889,0.007449377,3.56112E-05,5.54932E-05,,,,,
4,1,0.008630063,0.011422854,0.001706042,9.44164E-05,2.91058E-06,,,,,
5,1,0.006036038,0.017194843,0.010699291,4.21922E-05,0.000114475,,,,,
6,1,0.022363482,0.050107896,0.023336924,0.000716685,0.000544612,,,,,
7,1,0.077104158,0.148941629,0.054193686,0.008977173,0.002936956,,,,,
8,1,0.014176367,0.031425638,0.014821426,0.0002757,0.000219675,,,,,
9,1,0.016919318,0.018144708,0.001865702,0.000265006,3.48084E-06,,,,,
10,1,0.016157553,0.023156537,0.004092087,0.000363453,1.67452E-05,,,,,
11,1,0.127349742,0.303481861,0.146338951,0.024693894,0.021415089,,,,,
12,1,0.022016051,0.038822623,0.012483091,0.000693771,0.000155828,,,,,
13,1,0.020986628,0.045781665,0.020720471,0.000628063,0.000429338,,,,,
14,1,0.025295147,0.033104724,0.002693211,0.00092486,7.25338E-06,,,,,
15,1,0.06521276,0.140366141,0.060384935,0.006396993,0.00364634,,,,,
16,1,0.070443029,0.138322117,0.051845963,0.007478125,0.002688004,,,,,
17,1,0.074516434,0.234363239,0.14282873,0.008378566,0.020400046,,,,,
18,1,0.022628618,0.025627033,0.001473185,0.000583408,2.17027E-06,,,,,
19,1,0.013626896,0.045680944,0.029759065,0.000253506,0.000885602,,,,,
20,1,0.023420633,0.038335677,0.010251935,0.000788697,0.000105102,,,,,
21,1,0.013298214,0.002231572,0.013282151,0.000122115,0.000176416,,,,,
22,1,0.132004068,0.349777839,0.186855187,0.026543791,0.034914861,,,,,
23,1,0.013288743,0.015804722,0.000302761,0.000240311,9.16643E-08,,,,,
24,1,0.017198773,0.046849245,0.026491808,0.000414425,0.000701816,,,,,
25,1,0.007328398,0.034114462,0.026014058,6.56165E-05,0.000676731,,,,,
26,1,0.007048908,0.0349926,0.027239266,6.01142E-05,0.000741978,,,,,
27,1,0.015985911,0.039790484,0.02093918,0.000355372,0.000438449,,,,,
28,1,0.031042197,0.044386866,0.006838665,0.001409867,4.67673E-05,,,,,
29,1,0.054590802,0.127011476,0.060220618,0.004461019,0.003626523,,,,,
30,1,0.01830894,0.066471104,0.044735063,0.000472456,0.002001226,,,,,
31,1,0.012791126,0.025568479,0.010684459,0.000221534,0.000114158,,,,,
32,1,0.034350365,0.029366426,0.012289857,0.000291609,0.000151041,,,,,
33,1,0.03118337,0.033212614,0.004510895,0.000823789,2.03482E-05,,,,,
34,1,0.026717525,0.030781131,0.001396691,0.000863445,1.95075E-06,,,,,
35,1,0.006275395,0.001857107,0.004935679,9.47761E-06,2.43609E-05,,,,,
36,1,0.115438394,0.507282024,0.364930627,0.02026392,0.133174363,,,,,
37,1,0.137374883,0.280475431,0.110883301,0.028761491,0.012295106,,,,,
38,1,0.045505496,0.12154961,0.066040885,0.003081218,0.004361399,,,,,
39,1,0.031518964,0.094727947,0.056587697,0.001454679,0.003202167,,,,,
40,1,0.0449714,0.11907218,0.064226695,0.003008027,0.004125068,,,,,
41,1,0.024177586,0.063441327,0.034417601,0.000842377,0.001184571,,,,,
42,1,0.034289379,0.058889456,0.017308906,0.001728942,0.000299598,,,,,
43,1,0.042066151,0.075935709,0.024697963,0.002625307,0.000609989,,,,,
44,1,0.037938603,0.07511585,0.029003693,0.002126331,0.000841214,,,,,
45,1,0.052096962,0.122464768,0.05877076,0.004056927,0.003454002,,,,,
46,1,0.02413755,0.068711018,0.039737009,0.000839493,0.00157903,,,,,
47,1,0.02111567,0.039060784,0.013839344,0.000636121,0.000191527,,,,,
48,1,0.01103686,0.039230594,0.026525021,0.000161432,0.000703577,,,,,
49,1,0.012971615,0.039196444,0.024088293,0.000228256,0.000580246,,,,,
50,1,0.02105247,0.039795753,0.014652796,0.000632168,0.000214704,,,,,
51,1,0.009559693,0.011185715,0.000314488,0.000118184,9.89025E-08,,,,,
52,1,0.011471239,0.012700631,0.000544353,0.000147775,2.9632E-07,,,,,
53,1,0.014764905,0.020942576,0.003607518,0.000300504,1.30142E-05,,,,,
54,1,0.014692662,0.017923543,0.000678196,0.000297402,4.59949E-07,,,,,
55,1,0.017847083,0.016454955,0.004707553,0.000138001,2.21611E-05,,,,,
56,1,0.014230472,0.030833226,0.014161826,0.000277936,0.000200557,,,,,
57,1,0.010981312,0.022360903,0.00972431,0.000159683,9.45622E-05,,,,,
58,1,0.015458289,0.033623378,0.015427275,0.000331098,0.000238001,,,,,
59,1,0.015733627,0.04308401,0.024545992,0.000343658,0.000602506,,,,,
60,1,0.012204209,0.027650072,0.013494885,0.000200369,0.000182112,,,,,
