Index,Labels,Loss,Isolation,Dist0nn,Dist1nn,Dist2nn,Dist3nn,Dist4nn,Dist5nn,Dist6nn,Dist7nn,Dist8nn,Dist9nn,Dist10nn,Dist11nn,Dist12nn,Dist13nn,Dist14nn,Dist15nn,Dist16nn,Dist17nn,Dist18nn,Dist19nn,Dist20nn,Dist21nn,Dist22nn,Dist23nn,Dist24nn,Dist25nn,Dist26nn,Dist27nn,Dist28nn,Dist29nn,Dist30nn,Dist31nn,Dist32nn,Dist33nn,Dist34nn,Dist35nn,Dist36nn,Dist37nn,Dist38nn,Dist39nn,Dist40nn,Dist41nn,Dist42nn,Dist43nn,Dist44nn,Dist45nn,Dist46nn,Dist47nn,Dist48nn,Dist49nn,LOF0nn,LOF1nn,LOF2nn,LOF3nn,LOF4nn,LOF5nn,LOF6nn,LOF7nn,LOF8nn,LOF9nn,LOF10nn,LOF11nn,LOF12nn,LOF13nn,LOF14nn,LOF15nn,LOF16nn,LOF17nn,LOF18nn,LOF19nn,LOF20nn,LOF21nn,LOF22nn,LOF23nn,LOF24nn,LOF25nn,LOF26nn,LOF27nn,LOF28nn,LOF29nn,LOF30nn,LOF31nn,LOF32nn,LOF33nn,LOF34nn,LOF35nn,LOF36nn,LOF37nn,LOF38nn,LOF39nn,LOF40nn,LOF41nn,LOF42nn,LOF43nn,LOF44nn,LOF45nn,LOF46nn,LOF47nn,LOF48nn,LOF49nn
0,0,0.119697176,0.083710723,0.086743607,0.104936411,0.092677179,0.084296409,0.083797652,0.082557012,0.081610599,0.080279245,0.079054019,0.078252852,0.076685009,0.075083144,0.073520027,0.072897019,0.072254325,0.071465741,0.070564681,0.070024543,0.069350267,0.069365765,0.069307361,0.069713537,0.070017486,0.070322808,0.070918987,0.071477898,0.071982356,0.072404253,0.072885208,0.073441482,0.074225044,0.074982251,0.075522599,0.076129008,0.076688828,0.077221144,0.077776569,0.078245286,0.078680085,0.079105221,0.079422276,0.079672968,0.079892207,0.080078679,0.080079189,0.080125726,0.080144403,0.080146732,0.08012966,0.080159037,0.02016089,0.046869174,0.045372337,0.048638342,0.033354026,0.020661292,0.023622731,0.024613491,0.024729943,0.016878729,0.015582681,0.03057373,0.027859858,0.030165879,0.023718529,0.023266431,0.02186064,0.02049066,0.016354473,0.014688482,0.015783946,0.013293074,0.011939385,0.01172962,0.01055619,0.012153981,0.011119579,0.010954418,0.009661218,0.008858133,0.011594687,0.009636245,0.007541163,0.007172056,0.010065029,0.007374297,0.008025071,0.009220123,0.009979263,0.01209221,0.012469397,0.013781511,0.010000054,0.010633723,0.014073851,0.016460894,0.020112368,0.020122963,0.019385449,0.0196737
1,1,0.655565358,0.523703688,0.405648342,0.409084566,0.392862612,0.385634503,0.390969002,0.395736371,0.405684306,0.4182363,0.427887602,0.437168693,0.447229031,0.461702826,0.474896146,0.486014803,0.495886167,0.504783744,0.513122397,0.520983838,0.530028128,0.538813611,0.546914168,0.554254788,0.560791965,0.56669718,0.572316206,0.577631779,0.582703258,0.58734408,0.591519932,0.595625886,0.599881968,0.60385397,0.607521127,0.611026721,0.614386386,0.617535423,0.620767743,0.623803509,0.626654961,0.629482603,0.631937493,0.634267812,0.636439437,0.638501159,0.640411528,0.642209977,0.643914048,0.645544259,0.64713883,0.648624283,0.18617538,0.35675713,0.249585958,0.185550672,0.124996946,0.0921131,0.056880605,0.02476321,0.031786352,0.03594506,0.043625829,0.039512655,0.112595816,0.121741153,0.117735524,0.181159165,0.176106517,0.243496329,0.284035757,0.31470718,0.341263285,0.399777232,0.396507048,0.436824183,0.423381081,0.455166848,0.472494588,0.49809263,0.506303192,0.541021307,0.527448051,0.521980878,0.549522927,0.569397571,0.591837192,0.614264635,0.597078364,0.627182134,0.614522814,0.638933953,0.648031032,0.660414303,0.665648696,0.656301018,0.67395936,0.665642725,0.654823592,0.646465646,0.634523258,0.62434788
2,1,0.634616136,0.78711275,0.3717114,0.353311743,0.349466153,0.3441485,0.343267074,0.346340359,0.367102418,0.382773442,0.395684352,0.41238711,0.429260263,0.446112125,0.460193498,0.472667765,0.48346382,0.493410402,0.502459318,0.511969477,0.520488132,0.528579607,0.535760095,0.54227414,0.548131568,0.553666406,0.558702139,0.563469822,0.567917362,0.572002564,0.575667618,0.579057505,0.582233295,0.58549742,0.588532225,0.591357223,0.594193182,0.596851007,0.599653345,0.602472561,0.605167494,0.607702916,0.6099835,0.612155129,0.614157191,0.616183165,0.618058557,0.6198684,0.621666552,0.623387679,0.625032602,0.626701105,0.114405088,0.062546681,0.031332399,0.012503528,0.020517637,0.017607015,0.009230022,0.026284328,0.043998315,0.045096654,0.060691302,0.067580319,0.110251525,0.118568651,0.144303568,0.144094972,0.174768403,0.200817416,0.218544966,0.213868659,0.219675107,0.216709584,0.191330559,0.153108731,0.128926592,0.115435103,0.107605458,0.102086369,0.095990698,0.092805011,0.093982919,0.092121405,0.100918083,0.099602728,0.09637943,0.094193065,0.09304903,0.092859611,0.102834209,0.101441156,0.109535922,0.109514749,0.10660696,0.103728504,0.10198407,0.10117484,0.101501475,0.100584341,0.098239019,0.099476108
3,1,0.683973729,0.698694099,0.388626501,0.401645156,0.390600389,0.434692847,0.461559869,0.487751446,0.505750199,0.521619652,0.538586284,0.553004085,0.566374012,0.578948518,0.589365517,0.598196562,0.606029214,0.61412091,0.622368648,0.63094168,0.638565472,0.646463179,0.655014758,0.662809999,0.670360241,0.677054309,0.683386416,0.689200041,0.694588431,0.699636559,0.704364462,0.709320821,0.713935268,0.718447005,0.722817132,0.726856358,0.73061709,0.734375268,0.737952236,0.742073381,0.745878997,0.749433953,0.752636437,0.755644109,0.758619804,0.761454308,0.764069522,0.766609275,0.769059037,0.771431592,0.773781689,0.776004539,0.009162693,0.085848455,0.051505033,0.021421683,0.028083343,0.03713534,0.049079479,0.059887195,0.064112291,0.050393459,0.065671402,0.064376683,0.064675002,0.067613364,0.062862255,0.072628209,0.073253752,0.087112505,0.097337128,0.108705524,0.140179385,0.143347428,0.155889139,0.156423175,0.150475095,0.154833232,0.161088735,0.170072782,0.213358204,0.217234952,0.216796004,0.215313727,0.21922887,0.223221494,0.228879245,0.23828618,0.23610658,0.240321223,0.247424767,0.249757172,0.25116802,0.254840179,0.251778441,0.24981624,0.244238854,0.244111447,0.256482929,0.255789115,0.250388253,0.258556063
4,1,0.570297779,0.545533158,0.218588117,0.272063944,0.2952986,0.305610143,0.329846566,0.35890669,0.382667376,0.399746441,0.412772402,0.423071109,0.430700515,0.436897035,0.442342549,0.446747391,0.450998166,0.456704323,0.463337848,0.469839884,0.475456373,0.480722107,0.485772522,0.490375882,0.494451596,0.498126642,0.50164647,0.50500983,0.508010149,0.510694115,0.513106374,0.51564288,0.518048696,0.520289791,0.522357264,0.524198046,0.526160472,0.52800338,0.52972139,0.531727016,0.533577127,0.535345493,0.536831996,0.538245642,0.539493601,0.540807665,0.541933681,0.543052609,0.54425434,0.545418292,0.546527466,0.54755519,0.013791304,0,0.029672513,0.010560523,0.004976608,0.005225581,0.020458848,0.026700897,0.047906604,0.053944244,0.070900367,0.068966079,0.067896325,0.07182065,0.0671057,0.075842717,0.074701957,0.070531999,0.091964715,0.099852553,0.096646885,0.094563485,0.088511706,0.082872855,0.078207953,0.076637926,0.075011349,0.076467502,0.075316417,0.074750319,0.076510809,0.085293695,0.083355988,0.092915683,0.090605713,0.086838113,0.084151686,0.08249304,0.084557076,0.081765929,0.080598933,0.081546429,0.076927543,0.072994928,0.070298721,0.071389612,0.071924014,0.071468333,0.069709128,0.070909602
5,1,0.769281999,0.559608207,0.431205565,0.541548554,0.559301298,0.576989623,0.588697756,0.596874087,0.60656484,0.613906972,0.618991925,0.626895648,0.632832573,0.637615849,0.64122802,0.644394342,0.647060551,0.649385724,0.651383212,0.653653958,0.655863269,0.658156917,0.660129723,0.662070632,0.663997046,0.665591952,0.667182819,0.668691,0.670288364,0.671816323,0.673196381,0.674602722,0.675921708,0.677386216,0.678851748,0.680077513,0.68124056,0.682281509,0.683232419,0.68417769,0.684983497,0.685697957,0.686106817,0.686460065,0.686689926,0.686927818,0.687054196,0.687114209,0.687182236,0.68733691,0.687539438,0.687720927,0,0.131435992,0.165066092,0.206671312,0.216648948,0.221903197,0.270027635,0.30818728,0.312026397,0.269899109,0.297336266,0.300339646,0.323568188,0.331540176,0.333176478,0.367166532,0.35442371,0.354713021,0.329264114,0.336445983,0.37292586,0.411857954,0.441856083,0.441799846,0.418608764,0.414194401,0.40879253,0.419268105,0.407400754,0.399625273,0.380113014,0.365828812,0.37599611,0.38963401,0.407902961,0.39462582,0.389329645,0.402363627,0.39373011,0.410786993,0.431196564,0.42731911,0.432497023,0.41803711,0.422655319,0.429590684,0.432647836,0.420458287,0.427526746,0.41631822
6,1,0.648336496,0.879252497,0.179058991,0.203719619,0.285430283,0.374092413,0.444306902,0.489279498,0.524306097,0.557219985,0.586502505,0.610364635,0.630783064,0.647822606,0.663330521,0.67710261,0.688788754,0.699195275,0.708805231,0.717635027,0.725557839,0.732581109,0.738955262,0.746528861,0.7535546,0.761146914,0.768263734,0.774912384,0.781202497,0.78743387,0.79334812,0.798908749,0.80408321,0.809272218,0.814423229,0.819146695,0.823660698,0.828084362,0.832328025,0.836333273,0.84013833,0.843669748,0.846978269,0.850082897,0.852975771,0.855767187,0.858463958,0.861029502,0.863537017,0.865962282,0.868361349,0.870595804,0,0.064395149,0.068944892,0.064826636,0.082060067,0.076727262,0.087764367,0.096039794,0.090221301,0.086394888,0.095047583,0.092684637,0.100619374,0.105021266,0.105533762,0.113179711,0.118475003,0.122834664,0.117930029,0.117403722,0.120995644,0.119461686,0.125725075,0.146074821,0.153920065,0.160502296,0.164895897,0.205925039,0.221507317,0.228204633,0.22677193,0.247072974,0.253487162,0.260167093,0.263482561,0.282711966,0.279884009,0.286595596,0.300328115,0.324106283,0.32923734,0.350737861,0.345989906,0.347886952,0.344994141,0.34262658,0.345092528,0.356678927,0.365673061,0.372421109
7,1,0.743331385,0.80554741,0.398464244,0.392328923,0.383859148,0.397721308,0.408425511,0.447148641,0.474843885,0.495698873,0.516499517,0.53286429,0.545777528,0.55740568,0.56711438,0.576613984,0.584595114,0.591528708,0.59802827,0.60408394,0.609321208,0.614651809,0.619393029,0.625043132,0.630127589,0.634569725,0.638667335,0.643151834,0.647367869,0.651442689,0.655131029,0.658710678,0.662074768,0.665697579,0.669082027,0.672098049,0.675167532,0.678331184,0.681310272,0.684115211,0.686750335,0.689219204,0.691296602,0.693306143,0.695114007,0.696838296,0.698538997,0.700111909,0.701663895,0.703194159,0.704651098,0.706003625,0.470778586,0.171212929,0.144792455,0.09343509,0.079944648,0.090334445,0.14160518,0.148293567,0.168843712,0.23907958,0.293348243,0.303942704,0.312305502,0.370737899,0.412244057,0.448314464,0.453276745,0.48763899,0.487767084,0.49992418,0.522264569,0.543251017,0.53429042,0.558980324,0.5756244,0.568046879,0.580827468,0.61217677,0.594361465,0.61043625,0.610595675,0.596785776,0.608257301,0.61585041,0.628931987,0.631723444,0.625279928,0.632797541,0.640750776,0.645777703,0.63541715,0.646350455,0.652564924,0.657562392,0.655926755,0.663584065,0.669633542,0.676979722,0.682330705,0.688040831
8,1,0.443673439,0.538372292,0.108619072,0.10976726,0.105409143,0.099235118,0.100562539,0.133520309,0.157514022,0.203567756,0.241934513,0.272909885,0.298057952,0.319379215,0.337829344,0.354642864,0.369440457,0.382236084,0.394939511,0.406334389,0.416534545,0.425662224,0.43381624,0.441460948,0.448314435,0.454632592,0.461023281,0.466969347,0.47247977,0.477538947,0.482164864,0.48646599,0.490541379,0.494419464,0.498059678,0.501364457,0.504596308,0.507625919,0.510510355,0.513217433,0.515806754,0.518210559,0.520277999,0.522188268,0.523952456,0.525792507,0.527469886,0.529062716,0.530550745,0.531983209,0.533361719,0.534718083,0,0.067021626,0.056955463,0.043273589,0.040707599,0.013827157,0.029353197,0.10670988,0.132726875,0.192318523,0.210717243,0.253882938,0.271737188,0.300249714,0.322470843,0.333632967,0.360679829,0.383861063,0.405745295,0.430584051,0.447943932,0.463673843,0.474323498,0.489579708,0.50592311,0.520877406,0.51748284,0.544489928,0.553033656,0.558077559,0.568548578,0.560931321,0.55893492,0.558464872,0.561510466,0.557142197,0.565270954,0.571091981,0.571603852,0.577990092,0.579171814,0.587338574,0.590786436,0.598521088,0.606347812,0.609637887,0.616072351,0.622223238,0.631798138,0.636517156
9,1,0.453036751,0.434370474,0.230518755,0.212376495,0.194596741,0.253114425,0.289960584,0.317341176,0.33919388,0.355725058,0.368226295,0.378179775,0.385794767,0.391930389,0.399652084,0.406487943,0.412725752,0.41807401,0.422692689,0.427068553,0.430952555,0.43431826,0.437158497,0.439691982,0.44185185,0.443699101,0.445650391,0.447582793,0.449287541,0.450808413,0.452107483,0.453349458,0.454633656,0.455919216,0.457026905,0.457938054,0.458841561,0.459727262,0.460630618,0.461688264,0.462623962,0.463531742,0.464221929,0.46483927,0.465357433,0.465871902,0.466374899,0.466782962,0.467130818,0.467491146,0.467893533,0.468249168,0,0.08033699,0.080579729,0.070576432,0.065752771,0.141584933,0.214736638,0.296414102,0.285660456,0.270386359,0.29589425,0.282444007,0.311869772,0.295919154,0.310573675,0.305901317,0.335006967,0.339421748,0.323452107,0.346546021,0.361157179,0.370985282,0.380956615,0.391829058,0.374175768,0.366830778,0.364568625,0.383064636,0.386293899,0.391973376,0.393775021,0.397791763,0.406168469,0.408158905,0.420158195,0.419760039,0.419996191,0.425943518,0.434189808,0.437309193,0.442645869,0.444228617,0.443494979,0.447537244,0.45105832,0.445235316,0.446319007,0.454583363,0.460376069,0.465974258
