,Index,Labels,Loss,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,LOF0nn,LOF1nn,LOF2nn,LOF3nn,LOF4nn,LOF5nn,LOF6nn,LOF7nn,LOF8nn,LOF9nn,LOF10nn,LOF11nn,LOF12nn,LOF13nn,LOF14nn,LOF15nn,LOF16nn,LOF17nn,LOF18nn,LOF19nn,LOF20nn,LOF21nn,LOF22nn,LOF23nn,LOF24nn,LOF25nn,LOF26nn,LOF27nn,LOF28nn,LOF29nn,LOF30nn,LOF31nn,LOF32nn,LOF33nn,LOF34nn,LOF35nn,LOF36nn,LOF37nn,LOF38nn,LOF39nn,LOF40nn,LOF41nn,LOF42nn,LOF43nn,LOF44nn,LOF45nn,LOF46nn,LOF47nn,LOF48nn,LOF49nn,Dist0nn,Dist1nn,Dist2nn,Dist3nn,Dist4nn,Dist5nn,Dist6nn,Dist7nn,Dist8nn,Dist9nn,Dist10nn,Dist11nn,Dist12nn,Dist13nn,Dist14nn,Dist15nn,Dist16nn,Dist17nn,Dist18nn,Dist19nn,Dist20nn,Dist21nn,Dist22nn,Dist23nn,Dist24nn,Dist25nn,Dist26nn,Dist27nn,Dist28nn,Dist29nn,Dist30nn,Dist31nn,Dist32nn,Dist33nn,Dist34nn,Dist35nn,Dist36nn,Dist37nn,Dist38nn,Dist39nn,Dist40nn,Dist41nn,Dist42nn,Dist43nn,Dist44nn,Dist45nn,Dist46nn,Dist47nn,Dist48nn,Dist49nn,Isolation,Loss_best_mse,Loss_best_mse_rank,Dist_best_mse,Dist_best_mse_rank,LOF_best_mse,LOF_best_mse_rank,Isolation_best_mse,Isolation_best_mse_rank
0,0,0,0.119697176,0.47,1.0,0.27,0.81,0.57,0.37,0.26,0.0,0.0,0.26744186046511625,0.56,0.53,1.0,0.9,0.4,0.98,0.02016089,0.046869174000000006,0.045372337,0.048638342,0.033354026,0.020661292,0.023622731,0.024613491,0.024729942999999997,0.016878729,0.015582681000000001,0.03057373,0.027859857999999998,0.030165879,0.023718529,0.023266431,0.02186064,0.02049066,0.016354473,0.014688482,0.015783946,0.013293073999999998,0.011939385,0.01172962,0.01055619,0.012153981000000001,0.011119579,0.010954418,0.009661218000000001,0.008858133,0.011594687,0.009636245,0.007541163,0.007172056,0.010065029,0.007374296999999999,0.008025071,0.009220123,0.009979263,0.01209221,0.012469397,0.013781511000000001,0.010000054,0.010633723000000001,0.014073851,0.016460894,0.020112368000000002,0.020122963,0.019385449,0.0196737,0.08674360699999999,0.104936411,0.092677179,0.084296409,0.083797652,0.082557012,0.081610599,0.080279245,0.079054019,0.078252852,0.076685009,0.075083144,0.073520027,0.07289701900000001,0.072254325,0.071465741,0.07056468099999999,0.070024543,0.06935026700000001,0.069365765,0.069307361,0.069713537,0.07001748599999999,0.070322808,0.070918987,0.071477898,0.071982356,0.072404253,0.07288520799999999,0.073441482,0.074225044,0.074982251,0.07552259900000001,0.076129008,0.076688828,0.077221144,0.077776569,0.078245286,0.078680085,0.07910522099999999,0.079422276,0.079672968,0.079892207,0.080078679,0.08007918900000001,0.080125726,0.080144403,0.080146732,0.08012966,0.080159037,0.083710723,0.21332805510221045,433.0,0.10635102079333135,252.0,0.0730424854374775,445.0,0.2237073172289165,372.0
1,1,1,0.6555653579999999,0.0,0.89,0.27,1.0,0.42,0.75,0.29,0.45,0.15,0.1744186046511628,0.37,0.0,0.69,0.02,1.0,0.06,0.18617538,0.35675713,0.249585958,0.185550672,0.124996946,0.0921131,0.056880605,0.02476321,0.031786352000000004,0.03594506,0.043625829000000005,0.039512655,0.112595816,0.121741153,0.11773552400000001,0.181159165,0.176106517,0.24349632899999998,0.284035757,0.31470718,0.341263285,0.39977723200000004,0.396507048,0.436824183,0.423381081,0.45516684799999996,0.472494588,0.49809263,0.5063031920000001,0.5410213070000001,0.527448051,0.5219808779999999,0.549522927,0.569397571,0.5918371920000001,0.614264635,0.597078364,0.627182134,0.614522814,0.638933953,0.648031032,0.6604143029999999,0.665648696,0.656301018,0.67395936,0.665642725,0.6548235920000001,0.646465646,0.634523258,0.62434788,0.40564834200000005,0.40908456600000004,0.39286261200000006,0.38563450299999996,0.390969002,0.39573637100000003,0.405684306,0.4182363,0.42788760200000003,0.437168693,0.447229031,0.461702826,0.474896146,0.486014803,0.49588616700000004,0.504783744,0.5131223970000001,0.5209838379999999,0.530028128,0.538813611,0.5469141679999999,0.5542547879999999,0.560791965,0.56669718,0.572316206,0.577631779,0.582703258,0.58734408,0.5915199320000001,0.595625886,0.5998819679999999,0.60385397,0.607521127,0.611026721,0.6143863860000001,0.617535423,0.6207677429999999,0.623803509,0.6266549610000001,0.6294826029999999,0.631937493,0.634267812,0.636439437,0.638501159,0.640411528,0.642209977,0.643914048,0.645544259,0.64713883,0.648624283,0.523703688,0.43460220902532015,693.0,0.2669194958340892,785.0,0.05580647318426898,109.0,0.3375914725405956,608.0
2,2,1,0.634616136,0.0,0.57,0.31,0.68,0.72,0.9,1.0,1.0,0.76,0.872093023255814,0.5,0.51,0.28,0.25,0.16,0.0,0.114405088,0.06254668099999999,0.031332399,0.012503528,0.020517637,0.017607015,0.009230022,0.026284328,0.043998315,0.04509665400000001,0.060691302,0.067580319,0.110251525,0.118568651,0.14430356800000002,0.144094972,0.17476840300000002,0.20081741600000003,0.218544966,0.213868659,0.21967510699999998,0.21670958399999998,0.19133055899999998,0.153108731,0.12892659199999998,0.11543510300000001,0.107605458,0.10208636900000001,0.09599069800000001,0.09280501099999999,0.093982919,0.092121405,0.100918083,0.099602728,0.09637943,0.094193065,0.09304903,0.092859611,0.10283420900000001,0.10144115599999999,0.109535922,0.10951474900000001,0.10660696,0.103728504,0.10198407,0.10117484,0.101501475,0.100584341,0.098239019,0.09947610800000001,0.3717114,0.35331174299999996,0.34946615299999995,0.3441485,0.343267074,0.346340359,0.367102418,0.382773442,0.395684352,0.41238711,0.429260263,0.446112125,0.460193498,0.472667765,0.48346382,0.493410402,0.502459318,0.5119694770000001,0.520488132,0.5285796070000001,0.535760095,0.54227414,0.548131568,0.553666406,0.558702139,0.5634698220000001,0.567917362,0.5720025639999999,0.575667618,0.579057505,0.582233295,0.58549742,0.588532225,0.5913572229999999,0.594193182,0.596851007,0.599653345,0.602472561,0.605167494,0.607702916,0.6099835,0.612155129,0.614157191,0.616183165,0.618058557,0.6198684,0.621666552,0.623387679,0.625032602,0.626701105,0.78711275,0.36466724942616885,654.0,0.19231574732404239,752.0,0.05054779677998621,33.0,0.5432008830644058,728.0
3,3,1,0.6839737290000001,0.0,1.0,0.07,0.92,0.05,0.68,0.19,0.45,0.86,0.3953488372093023,1.0,0.45,0.74,0.23,0.67,0.0,0.009162693000000001,0.085848455,0.051505033,0.021421682999999997,0.028083342999999997,0.03713534,0.049079479,0.059887195,0.064112291,0.050393459,0.065671402,0.064376683,0.064675002,0.06761336400000001,0.062862255,0.072628209,0.073253752,0.087112505,0.09733712800000001,0.108705524,0.140179385,0.143347428,0.155889139,0.156423175,0.150475095,0.154833232,0.161088735,0.170072782,0.213358204,0.21723495199999998,0.216796004,0.21531372699999998,0.21922887,0.223221494,0.228879245,0.23828618,0.23610658,0.240321223,0.247424767,0.249757172,0.25116802,0.254840179,0.251778441,0.24981624,0.24423885399999998,0.24411144699999998,0.25648292899999997,0.255789115,0.250388253,0.258556063,0.388626501,0.401645156,0.390600389,0.43469284700000005,0.461559869,0.48775144600000003,0.505750199,0.521619652,0.538586284,0.553004085,0.566374012,0.578948518,0.5893655170000001,0.598196562,0.606029214,0.61412091,0.622368648,0.63094168,0.638565472,0.6464631789999999,0.655014758,0.662809999,0.670360241,0.6770543090000001,0.6833864159999999,0.689200041,0.6945884309999999,0.6996365590000001,0.704364462,0.7093208209999999,0.713935268,0.718447005,0.7228171320000001,0.7268563579999999,0.73061709,0.734375268,0.7379522359999999,0.742073381,0.745878997,0.7494339529999999,0.752636437,0.755644109,0.7586198040000001,0.761454308,0.764069522,0.766609275,0.769059037,0.771431592,0.7737816890000001,0.7760045390000001,0.698694099,0.39914618110062805,676.0,0.23393899898751147,770.0,0.07201779569613258,422.0,0.43737299396270685,694.0
4,4,1,0.570297779,0.0,0.67,0.49,0.83,1.0,1.0,0.81,0.8,0.6,0.6976744186046512,0.4,0.4,0.33,0.2,0.47,0.0,0.013791303999999999,0.0,0.029672512999999998,0.010560523,0.0049766079999999996,0.005225581,0.020458848,0.026700897,0.047906604000000005,0.053944244,0.070900367,0.068966079,0.067896325,0.07182065,0.0671057,0.075842717,0.074701957,0.070531999,0.091964715,0.09985255300000001,0.096646885,0.094563485,0.088511706,0.082872855,0.078207953,0.076637926,0.075011349,0.076467502,0.075316417,0.07475031900000001,0.076510809,0.085293695,0.08335598799999999,0.09291568300000001,0.090605713,0.08683811300000001,0.08415168599999999,0.08249304,0.084557076,0.081765929,0.080598933,0.081546429,0.076927543,0.072994928,0.070298721,0.071389612,0.07192401400000001,0.071468333,0.069709128,0.070909602,0.218588117,0.272063944,0.29529859999999997,0.305610143,0.329846566,0.35890669,0.382667376,0.399746441,0.41277240200000004,0.423071109,0.430700515,0.436897035,0.442342549,0.446747391,0.45099816600000003,0.45670432299999997,0.463337848,0.469839884,0.475456373,0.480722107,0.48577252200000004,0.49037588200000004,0.494451596,0.498126642,0.50164647,0.50500983,0.508010149,0.510694115,0.513106374,0.51564288,0.518048696,0.5202897910000001,0.5223572639999999,0.524198046,0.526160472,0.52800338,0.52972139,0.531727016,0.533577127,0.535345493,0.536831996,0.538245642,0.539493601,0.540807665,0.5419336810000001,0.543052609,0.54425434,0.545418292,0.546527466,0.54755519,0.545533158,0.2873148200298113,579.0,0.13944233308270262,616.0,0.07113474234334234,404.0,0.29680347602210666,561.0
5,5,1,0.769281999,1.0,1.0,0.88,0.99,0.49,0.74,0.17,0.47,0.0,0.18604651162790697,0.37,0.0,0.73,0.16,0.2,0.2,0.0,0.131435992,0.165066092,0.206671312,0.216648948,0.221903197,0.270027635,0.30818728,0.312026397,0.26989910899999997,0.297336266,0.300339646,0.32356818800000003,0.331540176,0.333176478,0.36716653200000005,0.35442371,0.354713021,0.329264114,0.33644598299999995,0.37292586,0.41185795399999997,0.44185608299999996,0.441799846,0.41860876399999997,0.414194401,0.40879253,0.419268105,0.407400754,0.39962527299999995,0.38011301399999997,0.365828812,0.37599611,0.38963401,0.407902961,0.39462582,0.389329645,0.40236362700000006,0.39373011,0.410786993,0.431196564,0.42731911,0.432497023,0.41803711,0.422655319,0.429590684,0.432647836,0.42045828700000004,0.427526746,0.41631822,0.431205565,0.541548554,0.559301298,0.576989623,0.588697756,0.596874087,0.60656484,0.613906972,0.618991925,0.626895648,0.632832573,0.637615849,0.64122802,0.644394342,0.647060551,0.6493857239999999,0.651383212,0.6536539579999999,0.655863269,0.658156917,0.660129723,0.662070632,0.663997046,0.665591952,0.667182819,0.668691,0.670288364,0.6718163229999999,0.6731963809999999,0.674602722,0.675921708,0.6773862159999999,0.6788517479999999,0.680077513,0.68124056,0.6822815090000001,0.6832324190000001,0.68417769,0.684983497,0.685697957,0.686106817,0.686460065,0.6866899259999999,0.686927818,0.687054196,0.6871142090000001,0.687182236,0.68733691,0.687539438,0.687720927,0.559608207,1.0485236939477884,790.0,0.3875109175733051,801.0,0.2227578514634962,788.0,0.9823359509612629,785.0
6,6,1,0.648336496,0.0,1.0,0.03,0.72,0.26,0.35,0.85,0.35,1.0,0.8255813953488372,0.73,0.97,0.65,0.49,0.66,0.0,0.0,0.064395149,0.06894489200000001,0.06482663599999999,0.082060067,0.076727262,0.087764367,0.096039794,0.09022130099999999,0.086394888,0.095047583,0.09268463699999999,0.100619374,0.105021266,0.10553376199999999,0.113179711,0.11847500300000001,0.12283466400000001,0.117930029,0.11740372199999999,0.120995644,0.119461686,0.125725075,0.146074821,0.153920065,0.160502296,0.16489589699999999,0.20592503899999998,0.22150731699999998,0.22820463300000002,0.22677193,0.24707297399999997,0.253487162,0.260167093,0.263482561,0.28271196600000004,0.279884009,0.286595596,0.300328115,0.324106283,0.32923734,0.35073786100000004,0.345989906,0.347886952,0.34499414100000003,0.34262658,0.34509252799999995,0.35667892700000003,0.365673061,0.372421109,0.17905899100000003,0.203719619,0.285430283,0.37409241299999996,0.444306902,0.489279498,0.5243060970000001,0.557219985,0.586502505,0.610364635,0.630783064,0.647822606,0.663330521,0.67710261,0.6887887540000001,0.699195275,0.7088052309999999,0.717635027,0.725557839,0.7325811090000001,0.7389552620000001,0.7465288609999999,0.7535546,0.761146914,0.768263734,0.7749123840000001,0.781202497,0.78743387,0.79334812,0.7989087490000001,0.80408321,0.8092722179999999,0.8144232290000001,0.819146695,0.823660698,0.828084362,0.832328025,0.8363332729999999,0.84013833,0.8436697479999999,0.8469782690000001,0.8500828970000001,0.852975771,0.855767187,0.858463958,0.8610295020000001,0.8635370170000001,0.865962282,0.8683613490000001,0.870595804,0.8792524970000001,0.3850784500058777,669.0,0.14299089959889252,633.0,0.061125841963815826,224.0,0.6171147741637945,747.0
7,7,1,0.743331385,0.0,0.39,0.02,0.62,0.11,0.05,0.63,0.0,1.0,0.5,0.89,0.99,0.36,1.0,0.0,0.57,0.470778586,0.17121292899999999,0.144792455,0.09343509,0.079944648,0.090334445,0.14160518,0.148293567,0.16884371199999998,0.23907958,0.293348243,0.303942704,0.312305502,0.370737899,0.41224405700000005,0.44831446399999997,0.453276745,0.48763899,0.48776708399999996,0.49992418,0.522264569,0.543251017,0.53429042,0.558980324,0.5756244,0.568046879,0.580827468,0.61217677,0.594361465,0.61043625,0.610595675,0.596785776,0.608257301,0.61585041,0.6289319870000001,0.631723444,0.625279928,0.632797541,0.640750776,0.6457777029999999,0.63541715,0.646350455,0.652564924,0.657562392,0.655926755,0.663584065,0.669633542,0.676979722,0.682330705,0.6880408309999999,0.39846424399999997,0.392328923,0.383859148,0.397721308,0.408425511,0.447148641,0.474843885,0.495698873,0.5164995170000001,0.53286429,0.545777528,0.55740568,0.56711438,0.576613984,0.584595114,0.591528708,0.59802827,0.60408394,0.609321208,0.6146518089999999,0.619393029,0.6250431320000001,0.630127589,0.634569725,0.638667335,0.643151834,0.647367869,0.651442689,0.655131029,0.6587106779999999,0.662074768,0.665697579,0.6690820270000001,0.672098049,0.675167532,0.678331184,0.681310272,0.684115211,0.686750335,0.689219204,0.691296602,0.6933061429999999,0.695114007,0.6968382959999999,0.698538997,0.7001119090000001,0.701663895,0.703194159,0.7046510979999999,0.706003625,0.80554741,1.0283360662450476,789.0,0.22984373577855285,769.0,0.2236825619018896,789.0,1.175920474257268,798.0
8,8,1,0.443673439,0.13,0.89,0.12,0.5,0.72,0.38,0.56,0.0,0.04,0.19767441860465115,0.0,0.61,0.32,0.94,1.0,1.0,0.0,0.067021626,0.056955463,0.043273589,0.040707599,0.013827157,0.029353197,0.10670988,0.132726875,0.19231852300000002,0.210717243,0.253882938,0.271737188,0.300249714,0.322470843,0.333632967,0.360679829,0.38386106299999995,0.405745295,0.430584051,0.44794393200000004,0.463673843,0.47432349799999995,0.48957970799999995,0.50592311,0.520877406,0.51748284,0.544489928,0.553033656,0.558077559,0.5685485779999999,0.560931321,0.55893492,0.5584648720000001,0.561510466,0.557142197,0.5652709539999999,0.571091981,0.5716038520000001,0.5779900920000001,0.579171814,0.587338574,0.590786436,0.5985210879999999,0.606347812,0.609637887,0.616072351,0.622223238,0.631798138,0.636517156,0.108619072,0.10976726,0.10540914300000001,0.09923511800000001,0.100562539,0.133520309,0.157514022,0.20356775600000002,0.24193451300000002,0.272909885,0.298057952,0.319379215,0.337829344,0.354642864,0.36944045700000006,0.382236084,0.394939511,0.40633438899999996,0.416534545,0.425662224,0.43381624,0.44146094799999996,0.448314435,0.45463259200000006,0.461023281,0.46696934700000003,0.47247977,0.47753894700000005,0.48216486399999997,0.48646599,0.490541379,0.494419464,0.49805967799999995,0.501364457,0.504596308,0.507625919,0.510510355,0.513217433,0.515806754,0.518210559,0.5202779989999999,0.522188268,0.5239524560000001,0.525792507,0.527469886,0.529062716,0.530550745,0.531983209,0.533361719,0.534718083,0.538372292,0.6715383277400359,757.0,0.11625969058637269,433.0,0.14512028091889706,752.0,0.869659231877909,780.0
9,9,1,0.453036751,0.57,1.0,0.22,0.72,0.0,0.31,0.25,0.0,0.75,0.1511627906976744,1.0,0.5,0.75,0.87,0.26,0.85,0.0,0.08033699,0.080579729,0.07057643200000001,0.065752771,0.141584933,0.214736638,0.296414102,0.285660456,0.27038635899999997,0.29589425,0.282444007,0.311869772,0.29591915399999996,0.310573675,0.305901317,0.335006967,0.33942174799999997,0.323452107,0.34654602100000004,0.361157179,0.370985282,0.380956615,0.39182905799999995,0.37417576799999996,0.36683077799999997,0.364568625,0.383064636,0.386293899,0.39197337600000004,0.393775021,0.39779176299999996,0.406168469,0.408158905,0.420158195,0.419760039,0.419996191,0.42594351799999997,0.43418980799999995,0.437309193,0.44264586899999997,0.44422861700000005,0.443494979,0.447537244,0.45105832,0.445235316,0.44631900700000005,0.45458336299999996,0.460376069,0.465974258,0.230518755,0.212376495,0.19459674100000002,0.253114425,0.28996058399999997,0.317341176,0.33919388,0.355725058,0.368226295,0.378179775,0.38579476700000004,0.391930389,0.39965208399999996,0.40648794299999996,0.41272575200000006,0.41807401,0.422692689,0.42706855299999996,0.430952555,0.43431826,0.43715849700000003,0.43969198200000004,0.44185185,0.44369910100000004,0.44565039100000003,0.447582793,0.449287541,0.45080841299999996,0.452107483,0.453349458,0.454633656,0.455919216,0.457026905,0.457938054,0.458841561,0.459727262,0.460630618,0.46168826399999996,0.46262396200000006,0.463531742,0.464221929,0.46483927,0.465357433,0.465871902,0.466374899,0.466782962,0.46713081799999995,0.467491146,0.467893533,0.468249168,0.434370474,1.0795982904409172,792.0,0.07810689844598258,45.0,0.23123244201474724,792.0,0.8532300428481154,778.0
