,mse without ^2,mse with ^2,"mse without ^2, add both knn and lof","mse with ^2, add both knn and lof",,,,
pen:,0.991957105,0.990661305,0.994206136,0.99344653,,,,
shuttle:,0.99314505,0.826444462,0.997141726,0.959720204,,,,
tyroid,0.649222322,0.662687669,0.655645365,0.680688869,,,,
satellite,0.963868657,0.969462023,0.968907463,0.972911443,,,,
aloi,0.496988989,0.760825762,0.714634586,0.745842966,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,pen,shuttle,thyroid,satellite,aloi,speech,,average
best knn,0.9857,0.9517,0.6679,0.9708,0.7486,,,0.8649
best lof,0.9897,0.5281,0.6882,0.7407,0.7809,,,0.7455
average knn,0.9847,0.9464,0.6018,0.971,0.6592,0.50790277,,0.778500462
average knn auc,0.9829,0.9301,0.6049,0.9674,0.664,0.50881665,,0.776352775
average lof,0.989,0.5323,0.6741,0.7257,0.7801,0.530745054,,0.705324176
average lof auc,0.9888,0.5218,0.6752,0.7241,0.7782,0.530906953,,0.703167826
iforest,0.782,0.9975,0.6339,0.9446,0.5381,0.452029395,,0.724688233
mine,0.9934,0.9597,0.6806,0.9729,0.7458,0.513356699,,0.81095945
,,,,,,,,
AUC,pen,shuttle,thyroid,satellite,aloi,speech,letter,average
average knn,0.9847,0.9464,0.6018,0.971,0.6592,0.5079,0.8834,0.793485714
average knn auc,0.9829,0.9301,0.6049,0.9674,0.664,0.5088,0.8782,0.7909
average lof,0.989,0.5323,0.6741,0.7257,0.7801,0.5307,0.9057,0.733942857
average lof auc,0.9888,0.5218,0.6752,0.7241,0.7782,0.5309,0.9039,0.731842857
iforest,0.782,0.9975,0.6339,0.9446,0.5381,0.452,0.643,0.713014286
mine (one linear estimation) and both methods,0.9934,0.9597,0.6806,0.9729,0.7458,0.5133,0.9234,0.827014286
mine with linear estimations of 200 in each bulk,0.9782,0.9917,0.6626,0.9694,0.776,0.6554,0.9049,0.848314286
mine - loss,0.949657432,0.98949756,0.541514551,0.964351575,0.538422305,0.462905596,0.92032,0.766667003
,0.943476318,0.997691814,0.950489649,0.952122056,0.504055073,0.520416054,0.807726667,0.810853947
total+loss,0.948793566,0.996148485,0.808179418,0.964110116,0.538966093,0.467617863,0.914333333,0.805449839
best_feature+loss,0.948689306,0.998089695,0.944575458,0.964943284,0.546252522,0.464728095,0.893113333,0.822913099
,0.947631814,0.996710216,0.801716772,0.965014925,0.525345905,0.481107971,0.915953333,0.804782991
,0.94562109,0.99786141,0.945055506,0.963797015,0.547452644,0.490962125,0.88916,0.825701399
