loss,step
tensor(0.3629, grad_fn=<MseLossBackward0>),0
tensor(0.2588, grad_fn=<MseLossBackward0>),10
tensor(0.2165, grad_fn=<MseLossBackward0>),20
tensor(0.1923, grad_fn=<MseLossBackward0>),30
tensor(0.1646, grad_fn=<MseLossBackward0>),40
tensor(0.1202, grad_fn=<MseLossBackward0>),50
tensor(0.1206, grad_fn=<MseLossBackward0>),60
tensor(0.0778, grad_fn=<MseLossBackward0>),70
tensor(0.0925, grad_fn=<MseLossBackward0>),80
tensor(0.0912, grad_fn=<MseLossBackward0>),90
tensor(0.0874, grad_fn=<MseLossBackward0>),100
tensor(0.0822, grad_fn=<MseLossBackward0>),110
tensor(0.0860, grad_fn=<MseLossBackward0>),120
tensor(0.1012, grad_fn=<MseLossBackward0>),130
tensor(0.0791, grad_fn=<MseLossBackward0>),140
tensor(0.1093, grad_fn=<MseLossBackward0>),150
tensor(0.0613, grad_fn=<MseLossBackward0>),160
tensor(0.0695, grad_fn=<MseLossBackward0>),170
tensor(0.0543, grad_fn=<MseLossBackward0>),180
tensor(0.0409, grad_fn=<MseLossBackward0>),190
tensor(0.0213, grad_fn=<MseLossBackward0>),200
tensor(0.0452, grad_fn=<MseLossBackward0>),210
tensor(0.0321, grad_fn=<MseLossBackward0>),220
tensor(0.0173, grad_fn=<MseLossBackward0>),230
tensor(0.0671, grad_fn=<MseLossBackward0>),240
tensor(0.0341, grad_fn=<MseLossBackward0>),250
tensor(0.0082, grad_fn=<MseLossBackward0>),260
tensor(0.0557, grad_fn=<MseLossBackward0>),270
tensor(0.0664, grad_fn=<MseLossBackward0>),280
tensor(0.0431, grad_fn=<MseLossBackward0>),290
tensor(0.0240, grad_fn=<MseLossBackward0>),300
tensor(0.0387, grad_fn=<MseLossBackward0>),310
tensor(0.0099, grad_fn=<MseLossBackward0>),320
tensor(0.0342, grad_fn=<MseLossBackward0>),330
tensor(0.0740, grad_fn=<MseLossBackward0>),340
tensor(0.0509, grad_fn=<MseLossBackward0>),350
tensor(0.0211, grad_fn=<MseLossBackward0>),360
tensor(0.0201, grad_fn=<MseLossBackward0>),370
tensor(0.0201, grad_fn=<MseLossBackward0>),380
tensor(0.0082, grad_fn=<MseLossBackward0>),390
tensor(0.0533, grad_fn=<MseLossBackward0>),400
tensor(0.0330, grad_fn=<MseLossBackward0>),410
tensor(0.0140, grad_fn=<MseLossBackward0>),420
tensor(0.0388, grad_fn=<MseLossBackward0>),430
tensor(0.0018, grad_fn=<MseLossBackward0>),440
tensor(0.0280, grad_fn=<MseLossBackward0>),450
tensor(0.0056, grad_fn=<MseLossBackward0>),460
tensor(0.0249, grad_fn=<MseLossBackward0>),470
tensor(0.0317, grad_fn=<MseLossBackward0>),480
tensor(0.0315, grad_fn=<MseLossBackward0>),490
tensor(0.0143, grad_fn=<MseLossBackward0>),500
tensor(0.0092, grad_fn=<MseLossBackward0>),510
tensor(0.0557, grad_fn=<MseLossBackward0>),520
tensor(0.0053, grad_fn=<MseLossBackward0>),530
tensor(0.0670, grad_fn=<MseLossBackward0>),540
tensor(0.0161, grad_fn=<MseLossBackward0>),550
tensor(0.0024, grad_fn=<MseLossBackward0>),560
tensor(0.0262, grad_fn=<MseLossBackward0>),570
