steps,size,top 500,top 1000,top 5000,top 10000,top 50000,,,AUC
50000,1024,45,67,131,169,307,,,0.948
100000,1024,100,135,232,264,364,,,
150000,1024,129,168,266,299,389,,,
200000,1024,138,196,285,333,402,,,
250000,1024,146,208,307,341,408,,,
300000,1024,155,223,326,357,420,,,
350000,1024,164,231,340,374,423,,,
400000,1024,162,234,351,385,431,,,
450000,1024,166,240,350,386,437,,,
500000,1024,167,243,359,391,438,,,
550000,1024,166,248,366,392,437,,,
600000,1024,173,252,366,397,442,,,
650000,1024,174,256,370,400,442,,,
700000,1024,173,263,372,400,446,,,
750000,1024,173,264,378,405,445,,,
800000,1024,174,267,380,404,445,,,
850000,1024,173,266,384,405,444,,,
900000,1024,171,269,386,406,446,,,
950000,1024,174,269,390,409,444,,,
1000000,1024,165,268,389,410,445,,,
